"id_regla","activa","prioridad","tipo_regla","campo_objetivo","operador","patron","patron_adicional","patron_exclusion","codigo_disciplina","disciplina_nombre","codigo_familia","familia_nombre","codigo_subfamilia","subfamilia_nombre","paquete_comparativo","metodo_valoracion","fuente_objetivo","requiere_fuente_actual","criterio_estadistico","confianza","requiere_revision","comentario"
"R001","Sí","1.0","excepcion","desc","contiene","buzo","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-BUZ","Buzos / trabajos subacuáticos","Trabajos especializados","Proyecto provisional","Subcontrata buzos local","Sí","Mantener proyecto hasta oferta","98","Sí","No clasificar como MT aunque código sea OC01"
"R002","Sí","1.0","excepcion","desc","contiene","subacuatico","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-BUZ","Buzos / trabajos subacuáticos","Trabajos especializados","Proyecto provisional","Subcontrata buzos local","Sí","Mantener proyecto hasta oferta","98","Sí","Trabajo subacuático especializado"
"R003","Sí","1.0","excepcion","desc","contiene","emisario","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-OBR","Obra marina / emisario","Obra marina","Oferta específica","Subcontrata obra marina","Sí","Precio proveedor validado","98","Sí","No valorar con ratios convencionales"
"R004","Sí","1.0","excepcion","desc","contiene","difusor","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-OBR","Obra marina / emisario","Obra marina","Oferta específica","Subcontrata obra marina","Sí","Precio proveedor validado","98","Sí","Obra marina especializada"
"R005","Sí","1.0","excepcion","desc","contiene","dragado","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-OBR","Obra marina / emisario","Obra marina","Oferta específica","Subcontrata obra marina","Sí","Precio proveedor validado","98","Sí","Obra marina especializada"
"R006","Sí","1.0","excepcion","desc","contiene","hinca","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-HIN","Hinca / perforación especial","Trabajos especializados","Oferta específica","Subcontrata hinca / PHD","Sí","Precio proveedor validado","95","Sí","Revisar si es tubería proceso o captación"
"R007","Sí","1.0","excepcion","desc","contiene","raee","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-RAE","RAEE","Residuos","Tarifa oficial","BOIB / gestor RAEE","Sí","Tarifa vigente + ajuste técnico","98","Sí","Alto importe; poco comparable con RCD"
"R008","Sí","1.0","excepcion","desc","contiene","pcb","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-RAE","RAEE / residuo especial","Residuos","Oferta específica","Gestor autorizado","Sí","Precio proveedor validado","98","Sí","Control documental específico"
"R009","Sí","1.0","excepcion","desc","contiene","amianto","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-PEL","Residuo peligroso con amianto","Residuos","Oferta específica","Gestor autorizado amianto","Sí","Precio proveedor validado","99","Sí","No mezclar con RCD ordinarios"
"R010","Sí","1.0","excepcion","desc","contiene","asbesto","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-PEL","Residuo peligroso con amianto","Residuos","Oferta específica","Gestor autorizado amianto","Sí","Precio proveedor validado","99","Sí","No mezclar con RCD ordinarios"
"R011","Sí","1.0","excepcion","desc","contiene","residuo peligroso","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-PEL","Residuos peligrosos","Residuos","Oferta específica","Gestor RP","Sí","Precio proveedor validado","98","Sí","Gestión dependiente del residuo real"
"R012","Sí","1.0","excepcion","desc","contiene","ler peligroso","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-PEL","Residuos peligrosos","Residuos","Oferta específica","Gestor RP","Sí","Precio proveedor validado","98","Sí","Requiere gestor específico"
"R013","Sí","1.0","excepcion","desc","contiene","mac insular","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-RCD","RCD / Mac Insular","Residuos","Tarifa oficial","BOIB / Mac Insular","No","Tarifa vigente + ajuste técnico","98","Sí","Activar tabla auxiliar BOIB/densidades"
"R014","Sí","1.0","excepcion","desc","contiene","verja","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-VAL","Vallados metálicos","Cerrajería PRFV","Oferta específica","Cerrajero / metálicas","Sí","Precio proveedor validado","95","Sí","No contaminar acero estructural"
"R015","Sí","1.0","excepcion","desc","contiene","vallado","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-VAL","Vallados metálicos","Cerrajería PRFV","Oferta específica","Cerrajero / metálicas","Sí","Precio proveedor validado","95","Sí","No contaminar acero estructural"
"R016","Sí","1.0","excepcion","desc","contiene","barandilla","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-VAL","Vallados / cerrajería","Cerrajería PRFV","Oferta específica","Cerrajero / metálicas","Sí","Precio proveedor validado","95","Sí","No contaminar acero estructural"
"R017","Sí","1.0","excepcion","desc","contiene","tramex","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-TRA","Tramex / plataformas PRFV","Cerrajería PRFV","Oferta específica","Proveedor PRFV / Hydroclick","Sí","Precio proveedor validado","98","Sí","Proveedor específico"
